symbol,date,open,high,low,close,volume
DHER.DE,2026-03-01,18.58,19.14,16.72,18.07,9289581
DHER.DE,2026-02-01,24.2,26.52,18.86,19.66,21186525
DHER.DE,2026-01-01,22.72,27.26,21.32,23.6,18272277
DHER.DE,2025-12-01,19.82,22.85,18.18,22.72,11401787
DHER.DE,2025-11-01,21.85,21.87,15.73,20.1,23598116
DHER.DE,2025-10-01,24.32,26.26,21.81,22.0,12053573
DHER.DE,2025-09-01,22.44,29.89,22.4,24.24,13115739
DHER.DE,2025-08-01,26.0,26.43,22.05,22.05,10677376
DHER.DE,2025-07-01,23.1,28.28,21.31,26.29,20698953
DHER.DE,2025-06-01,24.19,25.02,20.67,22.97,14678991
DHER.DE,2025-05-01,25.35,27.56,23.94,24.38,10599540
DHER.DE,2025-04-01,22.34,27.53,19.69,24.79,16778857
DHER.DE,2025-03-01,28.11,30.19,21.59,21.97,18409643
DHER.DE,2025-02-01,24.4,32.35,23.9,28.02,15815036
DHER.DE,2025-01-01,27.04,30.34,24.72,24.97,12482724
DHER.DE,2024-12-01,36.24,36.69,26.0,27.04,13953776
DHER.DE,2024-11-01,38.96,40.76,35.1,38.74,10088137
DHER.DE,2024-10-01,36.14,42.05,35.7,38.91,13265065
DHER.DE,2024-09-01,28.29,36.46,26.22,36.22,17097048
DHER.DE,2024-08-01,20.31,28.84,18.06,28.49,14774085
DHER.DE,2024-07-01,22.6,23.08,17.35,20.61,20089181
DHER.DE,2024-06-01,28.11,29.55,21.28,22.15,10641536
DHER.DE,2024-05-01,26.3,32.48,24.27,27.91,18898771
DHER.DE,2024-04-01,26.8,33.93,24.7,26.4,26261109
DHER.DE,2024-03-01,21.44,28.0,20.95,26.51,22485106
DHER.DE,2024-02-01,21.1,24.15,14.92,21.36,43339506
DHER.DE,2024-01-01,25.01,25.32,20.09,21.3,18096539
DHER.DE,2023-12-01,28.82,32.21,23.83,25.01,14255985
DHER.DE,2023-11-01,23.27,33.67,22.95,29.1,15486526
DHER.DE,2023-10-01,27.42,29.45,21.73,23.97,13176741
DHER.DE,2023-09-01,33.49,34.28,26.53,27.17,15402678
DHER.DE,2023-08-01,40.9,41.17,31.25,33.72,10953100
DHER.DE,2023-07-01,40.56,43.96,37.72,41.26,11343421
DHER.DE,2023-06-01,35.29,40.4,33.7,40.4,12250976
DHER.DE,2023-05-01,36.13,41.1,34.82,35.0,11506441
DHER.DE,2023-04-01,31.37,36.72,29.31,36.13,11942550
DHER.DE,2023-03-01,38.81,39.44,29.34,31.37,14924644
DHER.DE,2023-02-01,55.32,57.82,37.05,38.19,16021794
DHER.DE,2023-01-01,45.1,55.88,43.43,55.22,12174820
DHER.DE,2022-12-01,42.76,46.61,39.1,44.78,10675975
DHER.DE,2022-11-01,34.27,46.91,32.37,40.97,18693436
DHER.DE,2022-10-01,37.78,40.91,30.61,33.35,13646243
DHER.DE,2022-09-01,40.84,50.58,36.04,37.94,16584790
DHER.DE,2022-08-01,46.82,57.16,41.5,41.5,16666747
DHER.DE,2022-07-01,35.47,49.97,33.66,46.91,21978974
DHER.DE,2022-06-01,35.51,41.57,31.02,35.77,35787423
DHER.DE,2022-05-01,33.84,37.22,23.88,35.74,27230838
DHER.DE,2022-04-01,40.0,49.11,26.18,33.84,34856933
DHER.DE,2022-03-01,48.39,50.28,36.45,39.86,40171110
DHER.DE,2022-02-01,68.5,72.32,38.75,47.81,50126389
DHER.DE,2022-01-01,97.7,100.45,62.44,67.92,19514559
DHER.DE,2021-12-01,118.05,118.25,86.92,98.0,13609385
DHER.DE,2021-11-01,107.9,131.5,105.55,117.7,11337027
DHER.DE,2021-10-01,110.1,119.1,101.65,107.55,9383348
DHER.DE,2021-09-01,123.8,134.95,110.25,110.45,9992438
DHER.DE,2021-08-01,126.45,132.85,112.05,122.6,10152987
DHER.DE,2021-07-01,112.35,130.0,110.6,126.2,8725365
DHER.DE,2021-06-01,112.95,115.65,105.15,111.4,10836677
DHER.DE,2021-05-01,131.95,133.1,101.3,112.5,16716704
DHER.DE,2021-04-01,113.75,141.95,111.85,132.05,11840909
DHER.DE,2021-03-01,107.5,113.65,100.05,110.5,18994357
DHER.DE,2021-02-01,126.5,134.45,104.8,105.7,11765421
DHER.DE,2021-01-01,127.0,145.4,121.4,125.5,15069678
DHER.DE,2020-12-01,101.8,132.1,97.38,127.0,12074860
DHER.DE,2020-11-01,98.5,116.65,91.0,101.25,20451033
DHER.DE,2020-10-01,98.26,104.85,90.6,98.78,11623884
DHER.DE,2020-09-01,91.34,99.7,85.24,98.12,11812518
DHER.DE,2020-08-01,98.5,105.0,86.0,90.02,13195088
DHER.DE,2020-07-01,93.0,106.2,89.2,97.76,11155145
DHER.DE,2020-06-01,86.18,96.22,82.08,90.96,10155901
DHER.DE,2020-05-01,77.0,91.98,75.04,86.18,10420653
DHER.DE,2020-04-01,66.6,81.62,58.54,77.0,8602825
DHER.DE,2020-03-01,72.0,73.26,50.18,67.96,16883690
DHER.DE,2020-02-01,69.72,81.62,64.5,68.0,11185012
DHER.DE,2020-01-01,70.56,72.18,64.58,69.62,10597357
DHER.DE,2019-12-01,47.79,71.72,47.51,70.56,10678792
DHER.DE,2019-11-01,41.73,48.52,40.47,48.0,7118671
DHER.DE,2019-10-01,40.74,46.0,38.59,42.03,9270326
DHER.DE,2019-09-01,46.2,48.79,40.51,40.76,7720201
DHER.DE,2019-08-01,43.8,47.05,41.76,45.96,8322155
DHER.DE,2019-07-01,40.43,44.34,38.45,43.58,8828979
DHER.DE,2019-06-01,38.45,43.28,36.89,39.89,8093269
DHER.DE,2019-05-01,41.09,43.0,37.64,38.55,10181834
DHER.DE,2019-04-01,32.49,41.28,32.37,41.09,9315017
DHER.DE,2019-03-01,34.3,35.9,31.5,32.2,6714007
DHER.DE,2019-02-01,32.3,36.94,31.26,34.08,6907445
DHER.DE,2019-01-01,32.5,34.0,29.0,32.2,7050238
DHER.DE,2018-12-01,33.38,34.6,27.48,32.5,6852785
DHER.DE,2018-11-01,35.38,39.64,30.24,32.14,7799862
DHER.DE,2018-10-01,41.22,41.86,32.84,35.64,8848554
DHER.DE,2018-09-01,47.5,47.68,41.16,41.42,7242977
DHER.DE,2018-08-01,48.62,49.88,44.48,47.46,7985225
DHER.DE,2018-07-01,45.48,52.35,45.3,48.58,7538294
DHER.DE,2018-06-01,38.72,46.0,38.72,45.58,11851069
DHER.DE,2018-05-01,39.6,40.96,37.78,39.32,16054415
DHER.DE,2018-04-01,39.3,41.2,37.28,39.6,5644160
DHER.DE,2018-03-01,35.88,40.46,35.3,39.3,8319206
DHER.DE,2018-02-01,34.84,36.68,30.4,36.0,5384916
DHER.DE,2018-01-01,33.0,35.32,31.4,34.56,5801286
DHER.DE,2017-12-01,39.38,39.95,32.22,33.0,4389578
DHER.DE,2017-11-01,37.49,39.75,36.33,38.9,1097242
DHER.DE,2017-10-01,33.78,38.4,32.29,36.63,937821
DHER.DE,2017-09-01,30.3,37.0,29.83,33.5,1266841
DHER.DE,2017-08-01,28.2,30.79,26.54,30.1,1119287
DHER.DE,2017-07-01,28.25,29.8,25.42,27.7,2236473
DHER.DE,2017-06-01,26.9,27.8,25.26,27.8,11407039
